Point Cloud Visibility
87
Visibility for camera IMG_20241230_135636.jpg
689
316 838.152 845.584
317 838.341 361.841
318 839.94 564.795
319 840.296 694.168
320 846.64 800.324
321 851.354 465.029
322 851.672 854.107
323 852.565 545.234
324 860.778 851.015
325 868.796 534.807
326 870.732 670.524
327 883.508 585.399
328 888.506 648.757
329 889.106 649.213
330 889.106 649.213
331 895.249 859.756
332 896.942 621.81
333 896.942 621.81
334 899.896 398.811
335 907.353 467.973
336 911.605 754.977
337 911.743 755.238
338 920.906 640.844
339 921.726 642.086
340 923.405 850.222
341 924.913 482.575
342 925.14 428.203
343 926.09 616.508
344 927.615 605.608
345 928.395 511.172
346 935.659 835.651
347 936.739 377.717
348 942.094 354.284
349 942.094 354.284
350 948.609 616.933
351 951.416 546.984
352 961.216 673.401
353 964.445 337.851
354 971.683 377.793
355 987.211 381.707
356 991.817 705.048
357 992.03 341.921
358 999.205 539.001
359 1000.67 416.017
360 1005.68 743.171
361 1011.77 542.804
362 1021.07 446.054
363 1024.74 717.733
364 1027.9 496.921
365 1035.21 600.759
366 1035.21 600.759
367 1039.23 662.156
368 1044.35 803.83
369 1054.76 716.366
370 1060.24 470.305
371 1069.96 385.126
372 1076.45 414.363
373 1090.63 661.717
374 1097.04 382.598
375 1100.11 806.272
376 1100.24 1007.82
377 1106.9 563.901
378 1110.34 412.351
379 1110.46 779.097
380 1110.49 757.502
381 1119.52 497.771
382 1121.36 675.171
383 1130.5 697.098
384 1135.51 782.872
385 1135.51 782.872
386 1137.54 768.283
387 1137.54 768.283
388 1140.29 716.899
389 1153.44 692.021
390 1157.68 653.019
391 1157.68 653.019
392 1170.71 631.83
393 1175.5 694.054
394 1178.29 678.662
395 1185.97 805.191
396 1204.95 706.706
397 1213.29 672.769
398 1216.76 623.97
399 1222.89 695.697
400 1223.23 845.113
401 1230.2 692.15
402 1244.38 450.817
403 1246.03 604.972
404 1251.42 647.754
405 1257.01 680.357
406 1260.85 849.107
407 1264.39 603.04
408 1267.33 602.974
409 1269.65 693.298
410 1270.9 835.803
411 1272.1 280.778
412 1276.86 834.83
413 1279.89 752.329
414 1288.13 643.168
415 1288.13 643.168
416 1297.31 801.117
417 1301.05 785.212
418 1306.82 656.82
419 1324.93 523.835
420 1333.34 682.529
421 1340.22 728.225
422 1353.87 755.037
423 1353.87 755.037
424 1354.07 658.957
425 1354.76 507.454
426 1359.73 798.359
427 1367.35 791.315
428 1373.25 718.644
429 1381.35 710.633
430 1384.85 692.205
431 1393.16 516.969
432 1398.77 607.349
433 1414.35 538.302
434 1421.74 790.408
435 1421.83 657.552
436 1425.52 680.546
437 1433.04 612.084
438 1450.5 660.334
439 1455.79 616.72
440 1462.89 573.962
441 1464.5 452.009
442 1464.83 444.458
443 1472.14 567.911
444 1477.54 789.432
445 1483.47 496.469
446 1486.1 735.937
447 1494.37 589.162
448 1495.08 613.98
449 1502.83 441.129
450 1504.76 585.982
451 1505.06 551.919
452 1509.25 566.007
453 1522.03 577.902
454 1559.49 750.22
455 1580.92 468.679
456 1585.62 807.333
457 1595.82 730.081
458 1595.89 646.089
459 1601.71 654.92
460 1601.96 525.979
461 1609.27 774.573
462 1609.34 681.102
463 1610.35 753.569
464 1618.11 801.377
465 1618.78 611.459
466 1623.44 700.232
467 1624.74 720.623
468 1625.78 756.173
469 1629.11 691.365
470 1629.82 637.184
471 1634.78 728.699
472 1643.85 773.536
473 1644.14 720.761
474 1647.64 703.88
475 1652.92 799.39
476 1658.2 680.899
477 1667.82 611.112
478 1675.69 780.764
479 1682.9 701.133
480 1691.01 830.271
481 1692.93 608.948
482 1700.37 803.678
483 1702.59 371.179
484 1708.9 781.95
485 1709.16 616.598
486 1710.54 771.234
487 1710.78 629.372
488 1710.87 637.553
489 1714 646.978
490 1716.49 842.946
491 1716.89 693.826
492 1717.27 732.281
493 1718.82 752.127
494 1718.82 752.127
495 1719.08 603.202
496 1724.25 725.263
497 1724.25 725.263
498 1726.94 595.546
499 1731.67 721.231
500 1734.45 655.038
501 1736.74 604.677
502 1741.71 841.6
503 1743.43 644.884
504 1748.11 719.428
505 1750.04 608.034
506 1750.45 768.455
507 1750.45 768.455
508 1759.08 761.795
509 1760.44 668.105
510 1765.28 684.057
511 1765.37 656.874
512 1766.2 642.534
513 1766.2 642.534
514 1770.18 763.55
515 1773.62 637.966
516 1773.62 637.966
517 1774.29 495.828
518 1775.09 570.723
519 1775.32 631.613
520 1779.89 797.428
521 1782.12 564.235
522 1784.81 655.184
523 1786.87 725.838
524 1788.06 516.04
525 1790.25 585.734
526 1794.63 706.949
527 1797.72 735.633
528 1800.23 669.276
529 1803.74 677.238
