,n_matches,n_indsel,T_diff,R_diff
0,482.0,75.0,2.548815587942378,6.0340439461060515
1,448.0,69.0,89.88252179252856,28.049333883996198
2,669.0,114.0,23.819368732692553,13.728601600146547
3,682.0,124.0,7.68439732573305,3.075420992043522
4,931.0,161.0,11.011448671890534,5.253161424490867
5,1071.0,175.0,0.34736583930067333,1.908598655187167
6,1314.0,198.0,0.614859685723753,1.634754938464118
7,907.0,180.0,18.806259663916492,8.653382371842573
8,651.0,114.0,34.42825805821642,15.470458876756556
9,530.0,79.0,1.732254523533113,2.1515245527757068
