,n_matches,n_indsel,T_diff,R_diff
0,1161.0,26.0,0.8086659712792866,0.5047971855121752
1,1355.0,37.0,8.958854300805736,4.878151959999051
2,1471.0,33.0,1.073721237888785,0.622608045027256
3,1451.0,33.0,1.6528799170482809,0.9621542103409011
4,2179.0,38.0,1.2804658001156795,0.7457712882816163
5,2564.0,40.0,0.23877606709616556,0.1342749704854304
6,3012.0,34.0,0.4467341450779888,0.2543835180914781
7,2032.0,59.0,0.5539624796699895,0.315182352712089
8,1554.0,36.0,5.402656169591539,2.931547998470079
9,1355.0,37.0,1.7991314984482478,1.0255686922701173
